n_hours,units,optimizer,batch_size,rmse,rmse_rounded,time
1,10,adam,64,0.961761415,0.9744158983,29.44852524
1,10,adam,128,0.9816398621,0.9952799678,14.40541539
1,10,RMSprop,64,1.213126421,1.26034534,30.46655011
1,10,RMSprop,128,1.025735497,1.003418803,19.42115679
1,50,adam,64,0.9427961707,0.9618878961,28.0132072
1,50,adam,128,0.9490357637,0.984323442,14.05243192
1,50,RMSprop,64,1.118526697,1.095340848,33.96692863
1,50,RMSprop,128,1.120185494,1.143275023,21.21423893
1,100,adam,64,0.9589383602,0.9698655605,27.10646024
1,100,adam,128,0.941531539,0.9577251673,17.88102884
1,100,RMSprop,64,1.065185666,1.026337028,41.40597787
1,100,RMSprop,128,1.149315715,1.116884708,19.87724447
2,10,adam,64,0.990203321,0.9856272936,21.992836
2,10,adam,128,0.956007123,0.970453918,16.71553335
2,10,RMSprop,64,1.230822325,1.280673862,41.25615511
2,10,RMSprop,128,1.143904209,1.158894539,19.77496481
2,50,adam,64,0.9572609663,0.9760254025,21.89905367
2,50,adam,128,0.9357699156,0.9608488679,12.19236002
2,50,RMSprop,64,1.064894199,1.061332583,41.23190646
2,50,RMSprop,128,1.099126697,1.087233901,19.98105454
2,100,adam,64,0.9210173488,0.9404349327,28.60779824
2,100,adam,128,0.9732886553,1.00356102,19.31262898
2,100,RMSprop,64,1.032423019,1.032436252,34.16788144
2,100,RMSprop,128,1.094836831,1.096642852,21.55039582
4,10,adam,64,0.9595702291,0.9864916801,28.1547286
4,10,adam,128,0.9573956728,0.9822867513,16.51948142
4,10,RMSprop,64,0.9697729945,0.9856231809,41.33578
4,10,RMSprop,128,1.258224249,1.345635056,17.84767962
4,50,adam,64,0.9490054846,0.9646921158,22.22989788
4,50,adam,128,0.9467715025,0.967941761,19.38166337
4,50,RMSprop,64,1.053943992,1.04070735,33.79760499
4,50,RMSprop,128,1.057878733,1.07749939,19.88819871
4,100,adam,64,0.918751359,0.9422369599,28.81862588
4,100,adam,128,0.9138664007,0.9379857779,20.82072701
4,100,RMSprop,64,0.9933715463,0.9876485467,34.65888391
4,100,RMSprop,128,1.033230066,1.042625666,20.49263244
8,10,adam,64,0.9333597422,0.9505175948,28.63713613
8,10,adam,128,0.9148473144,0.9284819961,19.30377431
8,10,RMSprop,64,1.162370443,1.218081951,34.53026333
8,10,RMSprop,128,1.210116267,1.280147552,20.13669605
8,50,adam,64,0.8643568754,0.887440145,27.28837495
8,50,adam,128,0.927292645,0.9780573845,15.54656401
8,50,RMSprop,64,0.9128662348,0.9232389331,35.09704218
8,50,RMSprop,128,1.013670921,1.014599323,23.28509583
8,100,adam,64,0.8554780483,0.8817911744,29.62642851
8,100,adam,128,0.932795465,0.9898110628,20.20712905
8,100,RMSprop,64,0.8321073055,0.8633009195,32.49928026
8,100,RMSprop,128,0.978789866,1.002851486,22.34624648
16,10,adam,64,0.9184647560119629,0.9472558379173279,33.98619432449341
16,10,adam,128,0.9569850921630859,0.9839590787887573,21.921832942962645
16,10,RMSprop,64,0.8736399650573731,0.9096155762672424,42.7117947101593
16,10,RMSprop,128,0.9142744183540344,0.9372644186019897,22.76110486984253
16,50,adam,64,0.8798962235450745,0.9140598177909851,37.418299198150635
16,50,adam,128,0.9092421054840087,0.9332994937896728,22.152039098739625
16,50,RMSprop,64,0.8547938466072083,0.8867836952209472,36.528438329696655
16,50,RMSprop,128,0.8329446315765381,0.8599645137786865,22.633707904815672
16,100,adam,64,0.9818967580795288,1.0085370898246766,37.79947743415833
16,100,adam,128,0.9078064084053039,0.9307724595069885,20.368516635894775
16,100,RMSprop,64,0.8345117092132568,0.8673446655273438,39.57774076461792
16,100,RMSprop,128,0.8518294811248779,0.8829875469207764,22.649047327041625
24,10,adam,64,0.9109378695487976,0.9402478575706482,31.408673334121705
24,10,adam,128,0.9460848331451416,0.9803805947303772,19.854567670822142
24,10,RMSprop,64,0.9158223390579223,0.9214898824691773,36.219494915008546
24,10,RMSprop,128,1.0115748286247253,1.0008147478103637,21.034864759445192
24,50,adam,64,0.8426111102104187,0.8763054251670838,34.878442239761355
24,50,adam,128,0.910707950592041,0.9367859959602356,23.57763066291809
24,50,RMSprop,64,0.8821916460990906,0.9010562181472779,38.637202167510985
24,50,RMSprop,128,0.9323881983757019,0.9233480811119079,21.286463451385497
24,100,adam,64,0.8746914863586426,0.8986876368522644,40.471461057662964
24,100,adam,128,0.9200636744499207,0.9449801802635193,23.11867537498474
24,100,RMSprop,64,0.8773057222366333,0.8825598239898682,37.91702017784119
24,100,RMSprop,128,0.9992395877838135,0.9705525279045105,23.64906234741211
