n_hours,units,optimizer,batch_size,rmse,rmse_rounded,time
1,10,adam,64,0.955971241,0.9825823307,29.44849176
1,10,adam,128,0.9555179477,0.9754404426,20.42829485
1,10,RMSprop,64,1.111169457,1.112532377,37.82352014
1,10,RMSprop,128,1.074727535,1.014168978,18.07670455
1,50,adam,64,0.9577355385,0.9692769051,24.61204162
1,50,adam,128,0.9448692203,0.9853377342,13.89650354
1,50,RMSprop,64,1.078954101,1.045620322,41.54241648
1,50,RMSprop,128,1.068805337,1.01064539,21.22228041
1,100,adam,64,0.9725707769,0.9854825139,36.9825912
1,100,adam,128,0.927087307,0.9433134198,16.45529366
1,100,RMSprop,64,1.052532792,1.034369349,37.94907475
1,100,RMSprop,128,1.09583962,1.0536412,19.90659876
2,10,adam,64,0.9355828762,0.963814497,36.93332057
2,10,adam,128,1.034146547,1.051064849,16.54821997
2,10,RMSprop,64,1.141374469,1.166748166,41.56180696
2,10,RMSprop,128,0.9994580746,0.9827275276,20.13899765
2,50,adam,64,0.9535661936,0.9801104069,33.36485343
2,50,adam,128,0.9124864936,0.9452778697,19.35354509
2,50,RMSprop,64,1.100033283,1.082366943,31.05645661
2,50,RMSprop,128,1.072351575,1.074560523,21.51646442
2,100,adam,64,0.9270170927,0.9496454597,29.54441028
2,100,adam,128,0.9736565351,0.993414402,17.76410332
2,100,RMSprop,64,1.038782477,1.034231424,31.63445702
2,100,RMSprop,128,1.075137496,1.077213168,20.49984856
4,10,adam,64,0.935406208,0.9615799785,37.43180084
4,10,adam,128,1.02074945,1.060003996,18.68060532
4,10,RMSprop,64,1.082384109,1.075510502,38.98014131
4,10,RMSprop,128,1.013974667,1.028289557,19.8078053
4,50,adam,64,0.9162896872,0.9402655959,34.40636597
4,50,adam,128,0.9566532969,0.9790847301,19.8583941
4,50,RMSprop,64,1.036386967,1.046178937,45.43057714
4,50,RMSprop,128,1.029427052,1.055145264,18.78398476
4,100,adam,64,0.881367147,0.898026526,41.82736721
4,100,adam,128,0.9520317912,0.9833033681,18.08356218
4,100,RMSprop,64,0.9471616745,0.9592019916,33.69140067
4,100,RMSprop,128,1.065787435,1.063901782,22.30959816
8,10,adam,64,0.9305071831,0.9637934566,34.817202
8,10,adam,128,0.9896550179,0.9958509207,22.37626071
8,10,RMSprop,64,0.9684803486,0.9774733186,39.23529544
8,10,RMSprop,128,0.996041894,1.006120563,21.48473659
8,50,adam,64,0.8600383997,0.8801705241,35.44853234
8,50,adam,128,0.916513741,0.9310924411,22.22502933
8,50,RMSprop,64,0.864403367,0.8853461146,34.14218798
8,50,RMSprop,128,1.027558327,1.05678308,20.45289989
8,100,adam,64,0.8330346942,0.8623080254,36.51764827
8,100,adam,128,0.9141263962,0.9323183894,19.62144485
8,100,RMSprop,64,0.8160511255,0.8466010094,32.15754323
8,100,RMSprop,128,0.9851270914,1.005694747,22.13988929
16,10,adam,64,0.878276825,0.9057245851,35.75708032
16,10,adam,128,0.9656614065,1.000713825,23.45174365
16,10,RMSprop,64,0.877910614,0.9033562541,38.1775754
16,10,RMSprop,128,0.8395827413,0.8660666347,22.59064012
16,50,adam,64,0.8407782912,0.8789973855,35.17284985
16,50,adam,128,0.9642887712,0.9948453307,23.20717664
16,50,RMSprop,64,0.8544276953,0.8806206584,38.5656939
16,50,RMSprop,128,0.8578229547,0.8683722019,22.12671885
16,100,adam,64,0.8778358698,0.9110699892,35.95121088
16,100,adam,128,0.8553862572,0.8836966157,21.39561734
16,100,RMSprop,64,0.8386924267,0.8655717969,45.42744675
16,100,RMSprop,128,0.80956918,0.8421555161,23.30598416
24,10,adam,64,0.800366044,0.8354123235,40.10238433
24,10,adam,128,0.9971389771,1.041164756,23.50649214
24,10,RMSprop,64,0.8678124547,0.879573524,40.3890245
24,10,RMSprop,128,0.9666780829,0.9945550561,21.97198153
24,50,adam,64,0.8368705511,0.8508355618,38.22658224
24,50,adam,128,0.9110761881,0.9400430918,23.1339211
24,50,RMSprop,64,0.888289094,0.8999698162,41.06979241
24,50,RMSprop,128,0.9240843058,0.9067717195,21.98433881
24,100,adam,64,0.8324339986,0.8606875539,42.32678556
24,100,adam,128,0.8491715789,0.8668088317,22.49086547
24,100,RMSprop,64,0.9206033349,0.929802537,42.98198938
24,100,RMSprop,128,0.7858202457,0.8210923076,23.63816729
