n_hours,n_estimators,max_depth,max_features,rmse,rmse_rounded,time
1,100,10,sqrt,0.7963082770945583,0.8263980820127415,0.6863330364227295
1.0,100.0,10.0,,0.7743631483144348,0.8089468321026727,1.7106127262115478
1,100,30,sqrt,0.7901222965060998,0.8346450863039475,0.941020154953003
1.0,100.0,30.0,,0.7993723458190645,0.8522398637637927,2.064794588088989
1,1000,10,sqrt,0.7931902745568873,0.8217227698575009,6.577153205871582
1.0,1000.0,10.0,,0.7755918079818331,0.8124670699333156,14.696576452255249
1,1000,30,sqrt,0.7823477012662522,0.8282952730522677,10.422603321075439
1.0,1000.0,30.0,,0.793034135045447,0.8507316217453322,20.866657638549803
2,100,10,sqrt,0.7834389383166386,0.8149221886266085,0.8924415588378907
2.0,100.0,10.0,,0.7765118644618069,0.8152723163285318,2.767968034744263
2,100,30,sqrt,0.7783408142552106,0.8136955552422569,1.171812391281128
2.0,100.0,30.0,,0.7857314116877251,0.8262253940823194,3.8985742568969726
2,1000,10,sqrt,0.784127040941099,0.8149221886266085,8.513029384613038
2.0,1000.0,10.0,,0.7774748229706956,0.8064735230489563,28.378125190734863
2,1000,30,sqrt,0.7768613847854124,0.8142214815420716,11.583924055099487
2.0,1000.0,30.0,,0.7838088293271904,0.8265707338650407,39.97492785453797
4,100,10,sqrt,0.7774572916648583,0.8057033354078975,1.1266760349273681
4.0,100.0,10.0,,0.7818875319566939,0.8139870611805453,5.388567590713501
4,100,30,sqrt,0.7757126254566413,0.8101201174051953,1.5424022197723388
4.0,100.0,30.0,,0.7927500719478258,0.8408972547091873,8.43952031135559
4,1000,10,sqrt,0.7759295996221419,0.8097676613879019,10.785977840423584
4.0,1000.0,10.0,,0.779548827753049,0.804994401407525,54.04893636703491
4,1000,30,sqrt,0.7741426413021496,0.8115284107192492,16.233798694610595
4.0,1000.0,30.0,,0.7858221478017788,0.8253062823013357,78.56664390563965
8,100,10,sqrt,0.7687456581358014,0.7997715264839883,1.3757692337036134
8.0,100.0,10.0,,0.7861509442162287,0.8195219455897782,11.38203673362732
8,100,30,sqrt,0.775374372826286,0.8193477089670818,1.9075345993041992
8.0,100.0,30.0,,0.7990645234379832,0.8418657043006739,16.14775080680847
8,1000,10,sqrt,0.769293683155651,0.8001284876829644,13.523326349258422
8.0,1000.0,10.0,,0.7816039090626508,0.8134014570465979,108.7592842578888
8,1000,30,sqrt,0.770783824301207,0.8079417341630514,19.322477674484254
8.0,1000.0,30.0,,0.7889397100488124,0.8273246155031746,165.31045236587525
16,100,10,sqrt,0.7612217479901128,0.7948707317221644,2.030007076263428
16.0,100.0,10.0,,0.7758069413113949,0.8071729274564549,24.4401132106781
16,100,30,sqrt,0.7669470288726318,0.8077035550545496,2.8653551578521728
16.0,100.0,30.0,,0.7816636736283463,0.8180692884799369,38.704718589782715
16,1000,10,sqrt,0.7550175114247404,0.7856540037785348,19.615169048309326
16.0,1000.0,10.0,,0.7713894848193087,0.8027373903769333,232.86732439994813
16,1000,30,sqrt,0.7593294887256193,0.7977403104836684,29.648496627807617
16.0,1000.0,30.0,,0.7780247789567881,0.8136931509141612,378.27758836746216
24,100,10,sqrt,0.7603715284148798,0.790953422380931,2.5312707901000975
24.0,100.0,10.0,,0.7699368990673396,0.8018982908197664,35.01679229736328
24,100,30,sqrt,0.7703704882362197,0.797610033925677,3.608610200881958
24.0,100.0,30.0,,0.7763327173059651,0.8058091458509333,62.43178277015686
24,1000,10,sqrt,0.7597587239624595,0.7931184449226225,25.394270992279054
24.0,1000.0,10.0,,0.7664539012692682,0.8059864611013687,347.91807169914244
24,1000,30,sqrt,0.7623270231066703,0.7954572363858086,36.632571649551394
24.0,1000.0,30.0,,0.7690806039016186,0.7950978700984885,619.5826382637024
